PosiciÃ³n,Nombre de la canciÃ³n,Artista(s),Popularidad,PaÃ­s
1,Si Antes Te Hubiera Conocido,KAROL G,96,Argentina
2,DOCTOR,"Luck Ra, Nicki Nicole",77,Argentina
3,AGORA,Maria Becerra,73,Argentina
1,Después De La 1,"Cris Mj, FloyyMenor, LOUKI",80,Chile
2,Déjame Pensar,"Cris Mj, FloyyMenor, Panda Black",75,Chile
3,PELIGROSA,FloyyMenor,83,Chile
1,Mirame,"Blessd, Ovy On The Drums",88,Colombia
2,UWAIE,Kapo,89,Colombia
3,Si Antes Te Hubiera Conocido,KAROL G,96,Colombia
1,LUNA,"Feid, ATL Jacob",90,El Salvador
2,Si Antes Te Hubiera Conocido,KAROL G,96,El Salvador
3,SE ME OLVIDA,"Maisak, Feid",87,El Salvador
1,Rey Sin Reina,Julión Álvarez y su Norteño Banda,82,Mexico
2,EL LOKERON,Tito Double P,86,Mexico
3,LA PATRULLA,"Peso Pluma, Neton Vega",87,Mexico
1,Si Antes Te Hubiera Conocido,KAROL G,96,Peru
2,Die With A Smile,"Lady Gaga, Bruno Mars",99,Peru
3,UWAIE,Kapo,89,Peru
1,Who,Jimin,94,Venezuela
2,Si Antes Te Hubiera Conocido,KAROL G,96,Venezuela
3,UWAIE,Kapo,89,Venezuela
