PosiciÃ³n,Nombre de la canciÃ³n,Artista(s),Popularidad,PaÃ­s
1,Después De La 1,"Cris Mj, FloyyMenor, LOUKI",80,Chile
2,Déjame Pensar,"Cris Mj, FloyyMenor, Panda Black",75,Chile
3,PELIGROSA,FloyyMenor,83,Chile
4,CHIKA MALA,"Jere Klein, Mateo on the Beatz, EL MURCIELAGO",77,Chile
5,Bentley,"Lucky Brown, Jere Klein, Mateo on the Beatz, Gittobeatz",72,Chile
6,Si Antes Te Hubiera Conocido,KAROL G,96,Chile
7,Hablame Claro,"Yandel, Feid",79,Chile
8,Mi Automóvil,"Fran C, Jere Klein",74,Chile
9,Who,Jimin,94,Chile
10,Tattoo,Grupo Zúmbale Primo,65,Chile
11,Que Te Vaya Bien,"Santaferia, Grupo Zúmbale Primo",67,Chile
12,SI NO ES CONTIGO,Cris Mj,89,Chile
13,UWAIE,Kapo,89,Chile
14,No Ponga Excusas,Cris Mj,83,Chile
15,Mirame,"Blessd, Ovy On The Drums",88,Chile
16,A Tu Lado,Entremares,68,Chile
17,Piel,"Tiago PZK, Ke Personajes",79,Chile
18,TU TA RICA,"FloyyMenor, Lewis Somes",78,Chile
19,Die With A Smile,"Lady Gaga, Bruno Mars",99,Chile
20,Tuss,"Bryant Myers, Cris Mj",77,Chile
21,Llorando Ausencia,Maihuen de los Angeles,66,Chile
22,QUE LE DE,"Nes, Cris Mj",76,Chile
23,Gata Only,"FloyyMenor, Cris Mj",80,Chile
24,Es un Secreto,Plan B,68,Chile
25,LUNA,"Feid, ATL Jacob",90,Chile
26,Daytona,Cris Mj,80,Chile
27,Hoy,"Valentino Merlo, The La Planta",83,Chile
28,Sola Suelta Soltera,"Lucky Brown, Mateo on the Beatz",67,Chile
29,Ohnana,Kapo,89,Chile
30,Algún Día Volverás,Santaferia,65,Chile
31,Gitana (feat. Bryartz),"Pablo Chill-E, Bryartz",73,Chile
32,Furia Loca (Mujer Cósmica),La Gran Magia Tropical,63,Chile
33,Coa Xorete,"Lucky Brown, Big Cvyu",69,Chile
34,SE ME OLVIDA,"Maisak, Feid",87,Chile
35,MANIÁTICA,"LOS 4F, Young Cister, Kidd Voodoo, DrefQuila, Easykid, Kreamly",62,Chile
36,Te Amo en Silencio,Entremares,66,Chile
37,EL Gil De Tu Ex,Santaferia,64,Chile
38,MUJER FINA,"Jere Klein, Lucky Brown, Adan La Amenaza",71,Chile
39,Cinco Días,Grupo Zúmbale Primo,63,Chile
40,APAGA EL CEL,"FloyyMenor, Lewis Somes",74,Chile
41,Enrolar - Fantastic Four Remix,"Kidd Voodoo, DrefQuila, Young Cister, Easykid, Swift 047, LOS 4F",70,Chile
42,AMARGURA,KAROL G,87,Chile
43,QLONA,"KAROL G, Peso Pluma",87,Chile
44,Escarlata - Remix,"eleven1.1, DrefQuila, Kidd Voodoo, Harry Nach, SOULFIA",68,Chile
45,CHINGON,"Martinwhite, NEMJ",70,Chile
